,Subject,0,Item,0,Condition,0,Word,0,0,0,0,RT,0,0
1680639177,a94177205c151b8343ae5b575c48298b,Maze,144,0,Filler-A,38,10,az,uz,0,yes,1031,Az%2C hogy a parancsnok két fotót is behozott az irodába az ismeretlen tettesről%2C bizalomra adott okot.,1031
1680639177,a94177205c151b8343ae5b575c48298b,Maze,144,0,Filler-A,38,11,ismeretlen,idveretvan,1,yes,1209,Az%2C hogy a parancsnok két fotót is behozott az irodába az ismeretlen tettesről%2C bizalomra adott okot.,1209
1680639177,a94177205c151b8343ae5b575c48298b,Maze,144,0,Filler-A,38,12,tettesről%2C,mansesből%2C,0,yes,1157,Az%2C hogy a parancsnok két fotót is behozott az irodába az ismeretlen tettesről%2C bizalomra adott okot.,1157
1680639177,a94177205c151b8343ae5b575c48298b,Maze,144,0,Filler-A,38,13,bizalomra,tédatovra,0,yes,1597,Az%2C hogy a parancsnok két fotót is behozott az irodába az ismeretlen tettesről%2C bizalomra adott okot.,1597
1680639177,a94177205c151b8343ae5b575c48298b,Maze,144,0,Filler-A,38,14,adott,adisz,0,yes,683,Az%2C hogy a parancsnok két fotót is behozott az irodába az ismeretlen tettesről%2C bizalomra adott okot.,683
1680639177,a94177205c151b8343ae5b575c48298b,Maze,144,0,Filler-A,38,15,okot.,ozit.,1,yes,866,Az%2C hogy a parancsnok két fotót is behozott az irodába az ismeretlen tettesről%2C bizalomra adott okot.,866
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,0,A,É,0,yes,1297,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1297
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,1,terapeuta%2C,maladeüra%2C,0,yes,1204,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1204
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,2,akit,etét,0,yes,686,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,686
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,3,megvádolt,felrúnolt,0,yes,1363,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1363
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,4,a,ö,0,yes,701,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,701
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,5,kardiológus,kondioluvőn,1,yes,1246,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1246
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,6,a,ü,0,yes,832,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,832
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,7,műtét,févét,1,yes,1104,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1104
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,8,után%2C,áták%2C,1,yes,960,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,960
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,9,leellenőrizte,beekkenűriztő,0,yes,1200,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1200
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,10,az,öz,0,yes,1020,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1020
1680639177,a94177205c151b8343ae5b575c48298b,Maze,17,0,Expt-C,2,11,iratokat.,iralásal.,1,yes,1754,A terapeuta%2C akit megvádolt a kardiológus a műtét után%2C leellenőrizte az iratokat.,1754
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,0,Nyilvánvaló,Nyirvéljásó,0,yes,1249,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1249
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,1,volt%2C,vilt%2C,0,yes,858,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,858
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,2,hogy,pőgy,0,yes,708,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,708
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,3,a,ö,1,yes,851,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,851
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,4,hivatalnok,eksatalosp,1,yes,1462,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1462
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,5,hősies,vótien,0,yes,2378,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,2378
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,6,tetteinek,blöfeálek,0,yes,972,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,972
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,7,köszönhetően,klapösrorüen,1,yes,1298,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1298
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,8,fog,vük,1,yes,1299,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1299
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,9,érdemérmet,érdadérürt,1,yes,1424,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1424
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,10,kapni,tatni,0,yes,1058,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1058
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,11,jövő,imdő,0,yes,1188,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1188
1680639177,a94177205c151b8343ae5b575c48298b,Maze,173,0,Filler-E,67,12,tavasszal.,timanyzok.,1,yes,1043,Nyilvánvaló volt%2C hogy a hivatalnok hősies tetteinek köszönhetően fog érdemérmet kapni jövő tavasszal.,1043
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,0,A,U,0,yes,763,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,763
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,1,diktátor%2C,degtulor%2C,1,yes,1542,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,1542
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,2,aki,atú,1,yes,999,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,999
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,3,a,ü,0,yes,723,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,723
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,4,szakadárt,szomamánt,0,yes,1840,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,1840
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,5,megutálta,felétátta,1,yes,4590,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,4590
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,6,az,iz,1,yes,941,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,941
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,7,elmúlt,elzódj,1,yes,1350,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,1350
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,8,hónapokban%2C,pómajokbon%2C,0,yes,1110,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,1110
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,9,megrágalmazta,meklógalnagyja,0,yes,1715,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,1715
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,10,a,ö,0,yes,1236,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,1236
1680639177,a94177205c151b8343ae5b575c48298b,Maze,12,0,Expt-B,1,11,médiát.,fefoát.,0,yes,1211,A diktátor%2C aki a szakadárt megutálta az elmúlt hónapokban%2C megrágalmazta a médiát.,1211
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,0,Annak,Acman,0,yes,1261,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1261
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,1,a,ű,1,yes,731,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,731
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,2,valószínűsége%2C,vépferízűsive%2C,0,yes,1104,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1104
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,3,hogy,büly,0,yes,862,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,862
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,4,a,u,1,yes,859,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,859
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,5,titkárnő,taskennó,1,yes,1256,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1256
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,6,a,ú,0,yes,725,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,725
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,7,fontos,finted,1,yes,1044,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1044
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,8,emailt,riaitt,0,yes,895,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,895
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,9,még,nén,1,yes,761,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,761
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,10,ebédszünet,hoémszílet,0,yes,1074,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1074
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,11,előtt,erőlt,0,yes,687,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,687
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,12,kiküldje%2C,kulühban%2C,0,yes,1023,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1023
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,13,rohamosan,rúbadálan,0,yes,1682,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1682
1680639177,a94177205c151b8343ae5b575c48298b,Maze,159,0,Filler-C,53,14,csökkent.,csíttest.,0,yes,1258,Annak a valószínűsége%2C hogy a titkárnő a fontos emailt még ebédszünet előtt kiküldje%2C rohamosan csökkent.,1258
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,0,A,Ű,0,yes,804,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,804
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,1,tűzoltó%2C,moholto%2C,0,yes,1077,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,1077
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,2,aki,epi,0,yes,641,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,641
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,3,észrevette,jérunnette,0,yes,1289,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,1289
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,4,az,iz,1,yes,784,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,784
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,5,orvost,olvált,0,yes,1789,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,1789
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,6,az,at,0,yes,864,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,864
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,7,égő,ámő,0,yes,1572,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,1572
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,8,házban%2C,humból%2C,0,yes,945,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,945
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,9,megijesztette,feláhelytette,0,yes,1871,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,1871
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,10,a,i,0,yes,671,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,671
1680639177,a94177205c151b8343ae5b575c48298b,Maze,87,0,Expt-A,20,11,kutyát.,kebbák.,1,yes,1149,A tűzoltó%2C aki észrevette az orvost az égő házban%2C megijesztette a kutyát.,1149
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,0,Az,Öz,0,yes,1372,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,1372
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,1,a,ű,1,yes,817,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,817
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,2,gyanú%2C,nyegú%2C,1,yes,1949,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,1949
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,3,hogy,büly,0,yes,866,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,866
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,4,a,u,0,yes,689,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,689
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,5,házigazda,púlikahda,0,yes,1153,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,1153
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,6,rohadt,révard,0,yes,1716,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,1716
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,7,gyümölcsöt,gyítölnyőm,0,yes,897,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,897
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,8,tálalt,tejart,0,yes,2078,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,2078
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,9,fel%2C,zel%2C,1,yes,839,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,839
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,10,hamar,hekam,0,yes,960,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,960
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,11,elterjedt,eliszjogr,0,yes,1043,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,1043
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,12,a,ú,1,yes,710,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,710
1680639177,a94177205c151b8343ae5b575c48298b,Maze,152,0,Filler-B,46,13,környéken.,kérgyánen.,1,yes,1142,Az a gyanú%2C hogy a házigazda rohadt gyümölcsöt tálalt fel%2C hamar elterjedt a környéken.,1142
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,0,A,Ö,0,yes,790,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,790
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,1,nagymamám,nelysdeám,1,yes,1050,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,1050
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,2,azt,ézt,1,yes,806,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,806
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,3,mondta%2C,fonebn%2C,0,yes,863,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,863
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,4,hogy,muty,1,yes,818,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,818
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,5,a,u,1,yes,952,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,952
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,6,lakatos,romaton,0,yes,1092,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,1092
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,7,nem,mim,0,yes,967,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,967
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,8,végzett,válzolt,1,yes,3011,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,3011
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,9,jó,jü,0,yes,762,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,762
1680639177,a94177205c151b8343ae5b575c48298b,Maze,165,0,Filler-D,59,10,munkát.,modkák.,1,yes,1252,A nagymamám azt mondta%2C hogy a lakatos nem végzett jó munkát.,1252
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,0,A,I,0,yes,848,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,848
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,1,csapos%2C,csekis%2C,0,yes,1199,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,1199
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,2,akit,odet,1,yes,839,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,839
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,3,a,u,0,yes,580,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,580
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,4,vendég,rendóm,0,yes,1129,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,1129
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,5,meglökött,megkiditt,1,yes,1251,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,1251
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,6,a,ü,0,yes,812,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,812
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,7,pult,förp,1,yes,848,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,848
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,8,közelében%2C,kétetéjes%2C,0,yes,944,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,944
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,9,elejtett,elevimbs,1,yes,1105,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,1105
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,10,egy,evc,1,yes,704,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,704
1680639177,a94177205c151b8343ae5b575c48298b,Maze,54,0,Expt-D,11,11,poharat.,plöalal.,1,yes,971,A csapos%2C akit a vendég meglökött a pult közelében%2C elejtett egy poharat.,971
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,0,A,O,0,yes,1228,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1228
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,1,festő,mamtő,1,yes,880,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,880
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,2,azt,ast,0,yes,817,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,817
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,3,mondta%2C,fondom%2C,0,yes,761,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,761
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,4,hogy,muty,0,yes,789,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,789
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,5,legszívesebben,pelszúreseljan,1,yes,1547,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1547
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,6,leköpte,lisócte,0,yes,1555,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1555
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,7,volna,rapna,1,yes,862,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,862
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,8,a,ú,0,yes,621,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,621
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,9,szobrászt,szénrtjat,1,yes,1144,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1144
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,10,a,o,0,yes,736,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,736
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,11,legutóbbi,velutgéni,0,yes,1443,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1443
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,12,közös,kösön,0,yes,792,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,792
1680639177,a94177205c151b8343ae5b575c48298b,Maze,168,0,Filler-D,62,13,kiállításukon.,ketüzulásőkon.,0,yes,1107,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1107
1680639177,a94177205c151b8343ae5b575c48298b,Maze,129,0,Expt-C,30,0,A,U,0,yes,1321,A rendőr%2C akit megsebesített a bűnöző a lövöldözés közben%2C elejtette a revolverét.,1321
1680639177,a94177205c151b8343ae5b575c48298b,Maze,129,0,Expt-C,30,1,rendőr%2C,rondür%2C,0,yes,867,A rendőr%2C akit megsebesített a bűnöző a lövöldözés közben%2C elejtette a revolverét.,867
1680639177,a94177205c151b8343ae5b575c48298b,Maze,129,0,Expt-C,30,2,akit,epit,0,yes,681,A rendőr%2C akit megsebesített a bűnöző a lövöldözés közben%2C elejtette a revolverét.,681
1680639177,a94177205c151b8343ae5b575c48298b,Maze,129,0,Expt-C,30,3,megsebesített,fálsepósívent,1,yes,1323,A rendőr%2C akit megsebesített a bűnöző a lövöldözés közben%2C elejtette a revolverét.,1323
1680639177,a94177205c151b8343ae5b575c48298b,Maze,129,0,Expt-C,30,4,a,u,1,yes,888,A rendőr%2C akit megsebesített a bűnöző a lövöldözés közben%2C elejtette a revolverét.,888
1680639177,a94177205c151b8343ae5b575c48298b,Maze,129,0,Expt-C,30,5,bűnöző,bűdódő,0,yes,995,A rendőr%2C akit megsebesített a bűnöző a lövöldözés közben%2C elejtette a revolverét.,995
1680639177,a94177205c151b8343ae5b575c48298b,Maze,129,0,Expt-C,30,6,a,ö,1,yes,1047,A rendőr%2C akit megsebesített a bűnöző a lövöldözés közben%2C elejtette a revolverét.,1047
